File Name,File Id,Criterion Name,Expected Result,Actual Result,Report Time,Test Result NR,Batch Name,Expected Reason,Actual Reason
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Contain all information,,N/A,2023-06-30 08:18:31,Pass,Batch 300 call ngay 30/6 lan 2,KH cúp ngang,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Identification of client,Yes,Yes,2023-06-30 08:18:31,Pass,Batch 300 call ngay 30/6 lan 2,,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Reason of the call,Yes,No,2023-06-30 08:18:31,Fail,Batch 300 call ngay 30/6 lan 2,,KB KH: Thiếu thông tin DPD;#KB KH: Thiếu số tiền cung cấp cho KH
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Will you pay?,Yes,Yes,2023-06-30 08:18:31,Pass,Batch 300 call ngay 30/6 lan 2,,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,When,,No,2023-06-30 08:18:31,Fail,Batch 300 call ngay 30/6 lan 2,KH cúp ngang,Không lấy được thông tin ngày thanh toán theo quy định
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,How much,,No,2023-06-30 08:18:31,Fail,Batch 300 call ngay 30/6 lan 2,KH cúp ngang,Không lấy được thông tin số tiền theo quy định
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Attitude,Yes,Yes,2023-06-30 08:18:31,Pass,Batch 300 call ngay 30/6 lan 2,,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Save result,Yes,No,2023-06-30 08:18:31,Fail,Batch 300 call ngay 30/6 lan 2,"KH từ chối, agent chưa nói oh1, kh cúp ngang =>Refuse to Pay","Lưu sai, không lưu result theo quy định - Không ghi nhận số đt mới của KH"
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,COC,Yes,Yes,2023-06-30 08:18:31,Pass,Batch 300 call ngay 30/6 lan 2,,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Where,,N/A,2023-06-30 08:18:31,Pass,Batch 300 call ngay 30/6 lan 2,KH cúp ngang,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Payment receipt,,N/A,2023-06-30 08:18:31,Pass,Batch 300 call ngay 30/6 lan 2,KH cúp ngang,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Summary structure,,N/A,2023-06-30 08:18:31,Pass,Batch 300 call ngay 30/6 lan 2,KH cúp ngang,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Communication skill,No,Yes,2023-06-30 08:18:31,Fail,Batch 300 call ngay 30/6 lan 2,agent chen ngang,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,OH1 handle,No,N/A,2023-06-30 08:18:31,Fail,Batch 300 call ngay 30/6 lan 2,"kh từ chối, agent không thuyết phục",
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,OH2 handle,,N/A,2023-06-30 08:18:31,Pass,Batch 300 call ngay 30/6 lan 2,KH cúp ngang,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Greeting,Yes,Yes,2023-06-30 08:18:31,Pass,Batch 300 call ngay 30/6 lan 2,,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Focus on PTP,,Yes,2023-06-30 08:18:31,Fail,Batch 300 call ngay 30/6 lan 2,KH cúp ngang,
1684482083958_3770_810983451276_516462765.mp3,pE7-I0MzqG78gUZBirVC1A,Follow the structure of the call,Yes,N/A,2023-06-30 08:18:31,Fail,Batch 300 call ngay 30/6 lan 2,,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,OH2 handle,,N/A,2023-06-30 08:18:32,Pass,Batch 300 call ngay 30/6 lan 2,,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,Identification of client,Yes,Yes,2023-06-30 08:18:32,Pass,Batch 300 call ngay 30/6 lan 2,,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,Reason of the call,Yes,Yes,2023-06-30 08:18:32,Pass,Batch 300 call ngay 30/6 lan 2,,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,Will you pay?,Yes,N/A,2023-06-30 08:18:32,Fail,Batch 300 call ngay 30/6 lan 2,,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,When,,N/A,2023-06-30 08:18:32,Pass,Batch 300 call ngay 30/6 lan 2,Call không hợp tác,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,How much,,N/A,2023-06-30 08:18:32,Pass,Batch 300 call ngay 30/6 lan 2,Call không hợp tác,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,Where,,N/A,2023-06-30 08:18:32,Pass,Batch 300 call ngay 30/6 lan 2,Call không hợp tác,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,Payment receipt,,N/A,2023-06-30 08:18:32,Pass,Batch 300 call ngay 30/6 lan 2,Call không hợp tác,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,Contain all information,,N/A,2023-06-30 08:18:32,Pass,Batch 300 call ngay 30/6 lan 2,"Call không hợp tác, agent nói ""trường hợp anh cứ nói chuyện kiểu đó công ty gọi lại sau""",
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,Summary structure,No,N/A,2023-06-30 08:18:32,Fail,Batch 300 call ngay 30/6 lan 2,không cảm ơn,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,OH1 handle,,N/A,2023-06-30 08:18:32,Pass,Batch 300 call ngay 30/6 lan 2,,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,Focus on PTP,,Yes,2023-06-30 08:18:32,Fail,Batch 300 call ngay 30/6 lan 2,Call không hợp tác,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,Greeting,Yes,Yes,2023-06-30 08:18:32,Pass,Batch 300 call ngay 30/6 lan 2,,
1684482109334_3771_810932104194_516462776.mp3,n7NSCXiA7-3waEQdtkJBgQ,COC,Yes,No,2023-06-30 08:18:32,Fail,Batch 300 call ngay 30/6 lan 2,,NON KO.Self-will hanging up phone
